Cluster_name,RA_2000,Dec_2000,l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe/H,MRV,pm RA,pm Dec
Dolidze 18,05 24 06,+33 18 00,173.767,-1.447,,,,,,,5,,,,
Dolidze 19,05 23 42,+08 11 00,195.104,-15.317,,,,,,,23,,,,
Dolidze 2,20 09 54,+41 22 00,77.774,4.423,,,,,,,6,,,,
Dolidze 20,05 28 36,+33 47 00,174.044,-0.528,,,,,,,5,,,,
Dolidze 21,05 27 24,+07 04 00,196.585,-15.103,,,,,,,12,,,,
Dolidze 22,06 23 18,+04 39 00,205.57,-4.11,,,,,,,7,,,,
Dolidze 23,06 43 12,-00 00 00,211.962,-1.845,,,,,,,10,,,,
Dolidze 24,06 44 12,+01 36 00,210.61,-0.693,,,,,,,14,,,,
Dolidze 25,06 45 06,+00 18 00,211.942,-1.273,6304,16.22,0.717,6.84,,-140.1,20,,71,1.81,-1.98
Dolidze 26,07 30 06,+11 54 00,206.508,13.901,,,,,,,23,,,,
Dolidze 27,16 36 30,-08 57 00,7.616,24.664,,,,,,,25,,,,
Dolidze 28,18 25 24,-14 39 00,16.961,-1.015,,,,,,,5,,,,
Dolidze 29,18 31 24,-06 38 00,24.745,1.405,,,,,,,18,,,,
Dolidze 3,20 15 42,+36 47 00,74.559,0.965,,,,,O,,6,,,,
Dolidze 30,18 32 54,-06 02 00,25.45,1.351,,,,,,,18,,,,
Dolidze 31,18 34 54,-06 51 00,24.954,0.534,,,,,,,18,,,,
Dolidze 32,18 40 24,-04 06 00,28.025,0.581,,,,,,,7,,,,
Dolidze 33,18 40 36,-04 24 00,27.781,0.399,,,,,,,5,,,,
Dolidze 34,18 42 00,-04 35 00,27.778,0.005,,,,,,,5,,,,
Dolidze 35,19 26 24,+11 36 00,47.17,-2.095,,,,,,,5,,,,
Dolidze 36,20 02 24,+42 09 00,77.69,6.03,900,10.45,0.22,8.83,,94.5,20.4,,,0.19,-0.95
Dolidze 37,20 03 00,+37 41 00,73.941,3.576,,,,,,,8,,,,
Dolidze 38,20 05 34,+41 12 00,77.19,5.02,1200,10.86,0.15,8.95,,105,24,,,-3.59,-6.49
Dolidze 39,20 16 24,+37 52 00,75.536,1.453,,,,,,,12,,,,
Dolidze 4,20 17 48,+36 45 00,74.766,0.597,,,,,O,,2,,,,
Dolidze 40,20 18 49,+37 54 00,75.831,1.077,,,,,,,15,,,,
Dolidze 41,20 18 49,+37 45 00,75.707,0.992,,,,,,,11,,,,
Dolidze 42,20 19 42,+38 08 00,76.122,1.065,972,11.71,0.571,7.542,,18.1,7,,,,
Dolidze 43,20 21 42,+39 57 00,77.839,1.775,,,,,,,20,,,,
Dolidze 44,20 29 42,+41 43 00,80.156,1.561,,,,,,,10,,,,
Dolidze 45,21 09 00,+37 36 00,81.741,-6.896,,,,,,,18,,,,
Dolidze 46,23 21 54,+55 46 00,110.515,-4.931,,,,,,,12,,,,
Dolidze 47,20 41 36,+36 39 00,77.487,-3.323,,,,,,,5,,,,
Dolidze 5,20 20 30,+39 23 00,77.241,1.644,,,,,,,10,,,,
Dolidze 6,20 20 48,+41 23 00,78.923,2.73,,,,,O,,5,,,,
Dolidze 8,20 24 24,+42 16 00,80.032,2.683,,,,,O,,5,,,,
Dolidze 9,20 25 42,+41 56 00,79.898,2.293,,,,,A0,,5,,,,
Dutra-Bica 10,17 50 18,-28 53 42,0.565,-0.856,,,,,,,0.6,,,,
Dutra-Bica 11,17 50 24,-28 53 06,0.584,-0.869,,,,,,,1,,,,
Dutra-Bica 12,17 50 16,-28 51 42,0.59,-0.832,,,,,,,0.8,,,,
Dutra-Bica 13,17 55 21,-29 23 24,0.699,-2.057,,,,,,,0.7,,,,
Dutra-Bica 14,17 54 39,-29 13 36,0.763,-1.843,,,,,,,0.8,,,,
Dutra-Bica 15,17 51 57,-28 48 54,0.818,-1.125,,,,,,,0.7,,,,
Dutra-Bica 16,17 53 58,-29 31 42,0.427,-1.867,,,,,,,0.7,,,,
Dutra-Bica 18,17 42 48,-28 06 30,0.381,0.961,,,,,,,1.6,,,,
Dutra-Bica 23,17 44 05,-27 40 00,0.906,0.952,,,,,,,0.9,,,,
Dutra-Bica 24,17 55 30,-29 01 36,1.029,-1.902,,,,,,,0.9,,,,
Dutra-Bica 25,17 58 55,-29 23 42,1.083,-2.732,,,,,,,0.7,,,,
Dutra-Bica 28,17 53 29,-28 20 54,1.391,-1.178,,,,,,,1.6,,,,
Dutra-Bica 3,17 50 12,-29 12 18,0.287,-0.996,,,,,,,0.8,,,,
Dutra-Bica 30,17 56 56,-28 37 18,1.537,-1.97,,,,,,,0.7,,,,
Dutra-Bica 31,17 50 50,-27 47 06,1.578,-0.388,,,,,,,0.8,,,,
Dutra-Bica 32,17 59 35,-28 33 18,1.885,-2.441,,,,,,,0.9,,,,
Dutra-Bica 33,17 45 32,-26 41 48,1.902,1.183,,,,,,,0.8,,,,
Dutra-Bica 36,17 45 42,-26 12 54,2.333,1.402,,,,,,,0.7,,,,
Dutra-Bica 37,17 45 38,-26 12 12,2.335,1.421,,,,,,,1.1,,,,
Dutra-Bica 4,17 47 06,-28 46 54,0.3,-0.197,,,,,,,0.6,,,,
Dutra-Bica 40,17 53 16,-26 46 54,2.717,-0.341,,,,,,,0.6,,,,
Dutra-Bica 44,17 46 35,-24 53 24,3.569,1.92,,,,,,,0.8,,,,
Dutra-Bica 45,17 47 18,-24 53 12,3.656,1.783,,,,,,,1.5,,,,
Dutra-Bica 46,17 52 45,-25 25 18,3.829,0.45,,,,,,,0.6,,,,
Dutra-Bica 49,17 58 34,-26 06 54,3.89,-1.031,,,,,,,0.9,,,,
Dutra-Bica 5,17 47 07,-28 46 06,0.314,-0.193,,,,,,,0.4,,,,
Dutra-Bica 50,17 36 10,-32 24 06,355.984,-0.112,,,,,,,2.2,,,,
Dutra-Bica 51,17 49 29,-31 15 48,358.44,-1.919,,,,,,,2.2,,,,
Dutra-Bica 58,17 45 00,-28 51 36,359.994,0.155,,,,,,,0.9,,,,
Dutra-Bica 59,17 37 41,-25 15 00,2.201,3.445,,,,,,,1.9,,,,
Dutra-Bica 6,17 47 10,-28 46 24,0.315,-0.205,,,,,,,0.7,,,,
Dutra-Bica 60,17 39 20,-23 41 00,3.731,3.959,,,,,,,1,,,,
Dutra-Bica 7,17 50 06,-28 53 12,0.549,-0.814,,,,,,,0.8,,,,
Dutra-Bica 8,17 50 05,-28 52 42,0.555,-0.806,,,,,,,0.7,,,,
Dutra-Bica 83,05 52 05,+27 23 30,182.058,0.425,,,,,,,3.5,,,,
Dutra-Bica 84,06 09 28,+24 55 42,186.132,2.591,,,,,,,4,,,,
ESO 008-06,14 55 12,-83 25 24,306.559,-21.442,,,,,,,10,,,,
ESO 021-06,14 15 52,-78 30 12,307.221,-16.341,,,,,,,9,,,,
ESO 026-02,20 26 38,-80 00 12,313.583,-30.757,,,,,,,8,,,,
ESO 043-13,17 04 30,-74 21 30,317.717,-19.339,,,,,,,15,,,,
ESO 062-08,10 21 39,-69 20 06,290.339,-10.212,,,,,,,5,,,,
ESO 062-11,10 38 55,-69 02 00,291.507,-9.155,910,11.1,0.42,8.53,,-144.8,14,,,-13.48,3.63
ESO 064-05,12 24 33,-68 28 00,300.457,-5.724,,,,,,,10,,,,
ESO 065-03,12 51 37,-69 43 48,302.947,-6.858,,,,,,,6,,,,
ESO 065-07,13 29 17,-71 16 06,305.993,-8.622,,,,,,,4,,,,
ESO 092-05,10 03 14,-64 45 12,286.185,-7.502,10900,15.71,0.17,9.78,,-1423.1,5,-0.7,,,
ESO 092-18,10 14 58,-64 36 42,287.128,-6.655,607,10.47,0.5,9.024,,-70.3,5,,,,
ESO 093-08,11 19 41,-65 13 12,293.507,-4.041,3700,14.83,0.64,9.65,,-260.7,1,,,,
ESO 097-15,14 15 29,-64 36 42,311.789,-3.195,,,,,,,12,,,,
ESO 099-06,15 29 48,-64 51 48,318.759,-6.977,,,,,,,8,,,,
ESO 123-26,07 52 11,-60 21 36,273.11,-16.32,550,9.1,0.13,8.33,,-154.6,26,,,-1.41,7.56
ESO 128-16,10 53 41,-58 14 24,287.936,1.161,900,9.86,0.03,8.92,,18.2,19,,,-2.57,6.1
ESO 129-19,11 21 11,-58 13 54,291.265,2.581,,,,,,,5,,,,
ESO 129-32,11 44 09,-61 04 54,294.887,0.735,,,,,,,4,,,,
ESO 130-06,12 07 46,-59 18 00,297.375,3.1,2200,12.08,0.12,8.33,,119,23,,,-10.8,-0.76
ESO 130-08,12 10 19,-59 31 00,297.731,2.939,800,9.52,0,9.02,,41,24,,,-4.37,-1.18
ESO 130-13,12 23 18,-59 39 36,299.38,3.018,,,,,,,10,,,,
ESO 131-09,12 29 38,-57 52 36,300.026,4.872,,,,,,,5,,,,
ESO 134-12,14 44 46,-59 09 54,317.012,0.573,,,,,,,4,,,,
ESO 137-23,16 24 27,-61 44 30,325.494,-8.601,,,,,,,5,,,,
ESO 137-43,16 48 25,-61 45 36,327.38,-10.741,,,,,,,6,,,,
ESO 139-13,17 37 41,-58 07 48,333.982,-13.805,1500,11.5,0.2,8.78,,-357.8,10,,,-0.57,1.57
ESO 139-54,18 04 41,-58 31 24,335.282,-17.142,,,,,,,6,,,,
ESO 141-47,19 18 03,-57 54 12,338.952,-26.173,,,,,,,7,,,,
ESO 165-09,09 05 13,-55 57 35,274.923,-5.928,450,8.42,0.05,8.96,,-46.5,18,,,-10.15,10.47
ESO 166-04,09 10 30,-53 53 12,273.897,-3.971,885,10.2,0.15,8.45,,-61.3,19,,,-7.14,7.91
ESO 168-04,10 30 53,-53 52 00,283.054,3.491,,,,,,,3,,,,
ESO 175-06,14 18 43,-56 55 11,314.658,3.952,550,9.32,0.2,8.6,,37.9,22,,,-8.65,-2.43
ESO 211-01,08 47 11,-52 04 30,270.225,-5.452,,,,,,,4,,,,
ESO 211-03,08 51 35,-50 15 18,269.241,-3.771,,,,,,,2.5,,,,
ESO 211-09,09 16 44,-50 17 06,271.944,-0.797,,,,,,,2,,,,
ESO 217-08,11 50 08,-48 14 00,292.505,13.393,,,,,,,2,,,,
ESO 226-06,16 24 14,-51 09 06,333.089,-1.187,,,,,,,4,,,,
ESO 229-02,17 59 35,-51 41 06,341.353,-13.532,,,,,,,3,,,,
ESO 231-30,19 16 52,-51 29 30,345.871,-24.719,,,,,,,20,,,,
ESO 236-07,21 21 28,-51 48 42,345.827,-43.901,,,,,,,30,,,,
ESO 245-09,01 53 43,-45 57 12,273.762,-67.488,,,,,,,14,,,,
ESO 252-14,05 16 00,-45 14 12,250.87,-35.258,,,,,,,3,,,,
ESO 258-01,07 45 47,-46 42 48,260.195,-10.87,,,,,,,10,,,,
ESO 260-06,08 46 15,-47 41 54,266.7,-2.841,,,,,,,2,,,,
ESO 260-07,08 48 00,-47 01 48,266.364,-2.192,,,,,,,5,,,,
ESO 260-17,09 04 49,-46 02 30,267.488,0.65,,,,,,,7,,,,
ESO 261-03,09 11 23,-47 02 24,268.987,0.806,,,,,,,10,,,,
ESO 261-07,09 24 21,-44 42 18,268.895,4.051,,,,,,,33,,,,
ESO 265-01,11 00 58,-45 21 00,283.375,13.286,,,,,,,4,,,,
ESO 275-01,15 55 04,-46 00 54,333.024,5.853,,,,,,,6,,,,
ESO 277-04,16 40 25,-43 44 30,340.37,1.869,,,,,,,1.5,,,,
ESO 278-02,17 06 14,-46 07 18,341.418,-3.173,,,,,,,2,,,,
ESO 281-24,18 39 59,-44 11 54,351.285,-16.619,,,,,,,6,,,,
ESO 282-26,19 13 52,-42 38 54,355.015,-21.894,,,,,,,15,,,,
ESO 309-03,06 50 39,-42 23 24,251.968,-18.039,,,,,,,6,,,,
ESO 311-14,07 49 24,-42 42 18,256.948,-8.373,,,,,,,6,,,,
ESO 311-21,08 01 43,-41 36 18,257.159,-5.848,,,,,,,4,,,,
ESO 312-03,08 24 31,-41 17 42,259.249,-2.106,,,,,,,2,,,,
ESO 312-04,08 26 53,-41 15 00,259.469,-1.717,,,,,,,1,,,,
ESO 313-03,08 31 41,-41 47 30,260.435,-1.307,,,,,,,2.5,,,,
ESO 313-11,08 43 43,-37 42 48,258.586,3.001,,,,,,,4,,,,
ESO 313-12,08 43 53,-40 13 54,260.586,1.469,,,,,,,10,,,,
ESO 314-14,09 19 41,-38 07 00,263.577,8.079,,,,,,,10,,,,
ESO 315-14,09 35 25,-39 32 00,266.795,9.209,,,,,,,3,,,,
ESO 324-15,13 23 43,-41 53 12,309.341,20.583,,,,,,,4,,,,
ESO 329-02,15 27 32,-41 03 12,332.073,12.822,,,,,,,8,,,,
ESO 332-08,16 54 43,-40 42 30,344.397,1.807,1200,11.02,0.2,8.17,,37.9,16,,,0.05,-4.1
ESO 332-11,16 56 01,-40 46 48,344.496,1.57,,,,,,,3,,,,
ESO 332-13,16 56 40,-40 35 00,344.727,1.597,,,,,,,4,,,,
ESO 332-20,17 04 55,-38 19 12,347.492,1.733,,,,,,,7,,,,
ESO 332-22,17 07 29,-40 48 48,345.8,-0.165,,,,,,,7,,,,
ESO 334-02,17 36 57,-42 13 36,347.76,-5.509,,,,,,,2,,,,
ESO 335-05,18 16 07,-41 03 48,352.384,-11.334,,,,,,,7,,,,
ESO 337-23,19 19 13,-37 37 18,0.498,-21.321,,,,,,,5,,,,
ESO 367-10,07 17 05,-35 16 48,247.339,-10.5,,,,,,,3,,,,
ESO 368-11,07 44 27,-34 38 42,249.404,-5.242,,,,,,,1,,,,
ESO 368-14,07 47 03,-32 58 06,248.214,-3.941,,,,,,,4,,,,
ESO 370-13,08 27 09,-34 42 18,254.172,2.128,,,,,,,2,,,,
ESO 370-17,08 31 51,-36 12 24,255.95,2.024,,,,,,,3,,,,
ESO 371-25,08 53 00,-35 28 36,258.01,5.855,,,,,,,3,,,,
ESO 383-10,13 31 29,-35 03 54,312.129,27.091,,,,,,,5,,,,
ESO 389-05,15 57 50,-36 12 18,339.914,12.95,,,,,,,1.8,,,,
ESO 392-13,17 26 52,-34 41 12,353.011,0.256,,,,,,,10,,,,
ESO 393-12,17 38 40,-35 39 06,353.517,-2.292,,,,,,,2,,,,
ESO 393-15,17 43 33,-34 13 06,355.265,-2.384,,,,,,,5,,,,
ESO 397-01,19 04 09,-33 23 06,3.592,-16.984,,,,,,,6,,,,
ESO 424-25,05 49 49,-32 28 18,237.721,-26.376,,,,,,,9,,,,
ESO 425-06,06 04 50,-29 10 54,235.395,-22.287,,,,,,,6,,,,
ESO 425-15,06 14 35,-29 22 30,236.371,-20.356,,,,,,,6,,,,
ESO 426-26,06 36 18,-30 51 30,239.624,-16.517,,,,,,,7,,,,
ESO 427-32,07 06 14,-30 10 00,241.648,-10.341,,,,,,,10,,,,
ESO 429-02,07 33 23,-28 11 12,242.591,-4.164,,,,,,,5,,,,
ESO 429-05,07 37 02,-32 11 54,246.501,-5.401,,,,,,,1.2,,,,
ESO 429-13,07 41 08,-30 44 18,245.648,-3.927,,,0,8,,,4,,,,
ESO 430-09,08 02 24,-29 46 36,247.168,0.512,,,,,,,0.8,,,,
ESO 430-14,08 03 37,-31 25 36,248.705,-0.144,,,,,,,5,,,,
ESO 430-18,08 06 52,-30 50 12,248.579,0.759,830,9.6,0,9.05,,10.9,24,,,-7.91,-0.81
ESO 432-03,08 42 53,-27 52 24,250.652,8.887,,,,,,,8,,,,
ESO 435-09,09 55 33,-28 59 12,262.719,19.834,,,,,,,14,,,,
ESO 435-17,09 58 45,-30 54 36,264.602,18.823,,,,,,,4,,,,
ESO 435-33,10 03 54,-32 03 12,266.264,18.638,,,,,,,3,,,,
ESO 435-48,10 09 35,-28 21 30,264.82,22.289,,,,,,,4,,,,
ESO 436-02,10 14 03,-29 11 24,266.207,22.238,,,,,,,5,,,,
ESO 437-61,10 48 03,-29 23 24,273.062,26.23,,,,,,,5,,,,
ESO 442-04,12 34 05,-29 24 36,298.409,33.309,,,,,,,11,,,,
ESO 445-74,13 54 39,-31 57 30,318.254,29.026,,,,,,,2.5,,,,
ESO 447-29,14 37 27,-29 24 42,329.06,28.027,,,,,,,12,,,,
ESO 456-05,17 53 02,-29 53 36,0.009,-1.877,,,,,,,0.8,,,,
ESO 456-09,17 53 52,-32 29 00,357.863,-3.341,,,,,,,6,,,,
ESO 456-29,17 58 35,-32 01 12,358.765,-3.973,,,,,,,0.8,,,,
ESO 456-72,18 12 29,-29 34 36,2.36,-5.402,,,,,,,1.4,,,,
ESO 461-38,20 04 54,-30 21 00,11.245,-28.189,,,,,,,4,,,,
ESO 464-09,20 59 37,-29 23 12,15.924,-39.435,,,,,,,4,,,,
ESO 485-20,04 50 04,-25 57 24,226.162,-37.144,,,,,,,5,,,,
ESO 486-45,05 16 43,-24 02 12,226.072,-30.809,,,,,,,3,,,,
ESO 486-54,05 20 11,-26 02 54,228.581,-30.681,,,,,,,5,,,,
ESO 489-01,06 04 58,-26 44 00,232.928,-21.419,,,,,,,11,,,,
ESO 493-03,07 39 45,-27 17 36,242.494,-2.499,1400,11.04,0.1,8.6,,-61.3,18,,,0.44,2.31
ESO 494-09,07 59 16,-27 35 06,244.944,1.084,,,,,,,3,,,,
ESO 502-19,11 08 07,-26 43 48,276.027,30.688,,,,,,,3,,,,
ESO 518-03,16 47 04,-25 48 42,355.061,12.428,,,,,,,5,,,,
ESO 520-20,17 43 36,-24 43 06,3.362,2.587,,,,,,,0.7,,,,
ESO 521-38,18 09 25,-24 31 48,6.476,-2.389,1800,11.96,0.22,8.1,,-74.7,10,,,0.41,-2.71
ESO 522-05,18 12 53,-24 21 48,7.001,-3.001,660,14.74,1.82,9.51,,-34.6,4,,,,
ESO 522-16,18 19 05,-27 07 48,5.214,-5.537,,,,,,,1.6,,,,
ESO 524-01,18 56 39,-26 57 48,9.063,-12.991,2800,13.17,0.3,9.51,,-629.4,6,,,,
ESO 525-08,19 27 17,-23 34 48,15.117,-18.027,1640,12.19,0.36,9,,-507.5,5,,,,
ESO 559-02,07 18 05,-18 35 42,232.462,-2.725,,,,,,,1,,,,
ESO 559-13,07 28 42,-20 49 30,235.609,-1.573,,,,,,,10,,,,
ESO 561-05,07 59 19,-22 41 30,240.776,3.655,,,,,,,7,,,,
ESO 570-12,11 12 12,-21 19 18,274.069,35.927,,,,,,,13,,,,
ESO 587-04,17 04 22,-19 27 18,2.728,13.066,,,,,,,2,,,,
ESO 589-26,18 02 14,-21 54 54,7.952,0.328,,,,,,,2.5,,,,
Feibelman 1,20 17 47,+38 02 00,75.827,1.32,,,,,,,5,,,,
Feinstein 1,11 05 56,-59 49 00,290.025,0.385,1159,11.56,0.4,7,OB,7.8,25,,,-5.19,3.27
Frolov 1,23 57 25,+61 37 48,116.56,-0.57,2560,13.9,0.6,7.66,,-25.5,18,,,-5.91,-1.35
Graham 1,10 56 12,-63 01 00,290.284,-3.01,,,,,,,5,,,,
Grasdalen 1,16 25 54,-24 27 00,352.641,17.349,,,,,,,2,,,,
Haffner 10,07 28 36,-15 23 00,230.817,1.007,3700,15.21,0.52,9.4,,65,3,,,,
Haffner 11,07 35 25,-27 43 00,242.395,-3.544,6100,15.7,0.57,8.7,,-377.1,5,,,,
Haffner 13,07 40 30,-30 04 47,245,-3.73,714,9.42,0.05,7.51,B9,-46.4,57.6,,68,-6.44,5.4
Haffner 14,07 44 51,-28 22 00,243.986,-2.05,,,,,,,10,,,,
Haffner 15,07 45 32,-32 51 00,247.952,-4.158,2078,15.13,1.141,7.166,,-150.7,3,,,,
Haffner 16,07 50 20,-25 28 00,242.097,0.467,3165,13.04,0.175,7.078,,25.8,5,,,-3.26,0.99
Haffner 17,07 51 37,-31 49 00,247.706,-2.527,2880,16.2,1.26,7.7,,-127,2,,,,
Haffner 18,07 52 39,-26 23 00,243.151,0.447,6028,15.79,0.611,6.893,,47,2,,,,
Haffner 19,07 52 47,-26 17 00,243.081,0.524,5094,14.82,0.416,6.934,,46.6,2,,68,,
Haffner 20,07 56 15,-30 22 00,246.972,-0.93,3117,14.23,0.569,8.121,,-50.6,3,,,,
Haffner 21,08 01 09,-27 13 00,244.85,1.633,2951,12.68,0.106,7.92,,84.1,3,,,-3.52,1.93
Haffner 22,08 12 27,-27 54 00,246.775,3.377,,,,,,,6,,,,
Haffner 23,07 09 18,-16 55 12,230,-3.81,1000,10.31,0.1,8.84,,-66.4,24,,,-3.7,-0.63
Haffner 24,07 28 56,-18 19 00,233.432,-0.326,,,,,,,2,,,,
Haffner 25,07 48 40,-25 57 00,242.323,-0.102,,,,,,,2,,,,
Haffner 26,08 15 39,-30 49 47,249.6,2.34,1000,10.25,0.08,7.47,,40.8,12,,,-4.54,4.31
Haffner 3,07 04 00,-06 08 00,219.82,-0.014,,,,,,,5,,,,
Haffner 4,07 06 12,-14 59 00,227.94,-3.586,4500,14.82,0.5,8.7,,-281.5,5,,,,
Haffner 5,07 18 02,-22 40 00,236.071,-4.625,,,,,,,6,,,,
Haffner 6,07 20 06,-13 08 00,227.861,0.258,3054,13.82,0.45,8.826,,13.8,6,,,,
Haffner 7,07 22 55,-29 30 00,242.673,-6.804,4500,13.67,0.13,9.18,,533.1,3,,,,
Haffner 8,07 23 24,-12 20 00,227.533,1.345,1182,10.46,0.03,9.15,,27.7,5,0.06,,,
Haffner 9,07 24 30,-17 00 00,231.771,-0.628,,,,,,,4,,,,
Harvard 10,16 18 48,-54 56 00,329.836,-3.284,1312,11.71,0.36,8.34,B5,-75.2,25,,,-2.83,-11.21
Harvard 13,17 03 51,-48 05 00,339.606,-4.033,,,,,,,5,,,,
Harvard 16,17 31 12,-36 48 00,351.736,-1.645,,,,,,,14,,,,
Harvard 20,19 53 06,+18 20 00,56.279,-4.654,1540,11.7,0.247,7.476,,-125,7,,,1.07,-4.66
Harvard 21,23 54 06,+61 46 00,116.206,-0.354,,,,,,,3,,,,
Harvard 9,15 33 46,-53 40 00,325.616,1.899,,,,,,,6,,,,
Havlen-Moffat 1,17 18 54,-38 49 00,348.704,-0.767,2900,18.05,1.85,,O4,-38.8,5,,,,
Hogg 1,09 40 33,-50 35 00,274.899,1.598,,,,,,,6,,,,
Hogg 10,11 10 42,-60 24 00,290.798,0.077,1776,12.67,0.46,6.784,,2.4,3,,,,
Hogg 11,11 11 37,-60 24 00,290.903,0.119,2270,12.77,0.32,7.08,,4.7,2,,,,
Hogg 12,11 13 01,-60 47 00,291.206,-0.172,,,0.04,7.93,,,4,,,,
Hogg 13,11 16 18,-60 16 00,291.393,0.456,,,,,,,3,,,,
Hogg 14,12 28 36,-59 49 00,300.061,2.928,969,10.64,0.229,8.099,,49.5,3,,,-9.22,1.08
Hogg 15,12 43 37,-63 06 00,302.047,-0.242,2262,15.15,1.089,6.777,,-9.6,2,,,-7.87,2.39
Hogg 16,13 29 18,-61 12 00,307.477,1.337,1585,12.27,0.411,7.047,,37,6,,-35.8,-3.71,-3.17
Hogg 17,14 33 58,-61 22 00,314.898,-0.9,1310,12.43,0.594,8.03,B7,-20.6,4,,,,
Hogg 18,14 50 43,-52 16 00,320.765,6.426,1535,12.49,0.503,7.759,B3,171.8,5,,,-1.36,-3.34
Hogg 19,16 28 57,-49 06 00,335.088,-0.302,,,,,,,4,,,,
Hogg 2,09 51 32,-56 19 00,279.842,-1.734,,,,,,,6,,,,
Hogg 20,16 44 30,-47 38 00,337.91,-1.229,,,,,,,4,,,,
Hogg 21,16 45 37,-47 44 00,337.956,-1.437,,,,,,,4,,,,
Hogg 22,16 46 37,-47 05 00,338.561,-1.143,1216,12.43,0.647,6.78,,-24.3,3,,,-3.16,-3.77
Hogg 23,12 28 37,-60 54 35,300.16,1.84,1250,10.7,0.07,8.31,,40.1,12,,,-9.43,-1.12
Hogg 3,09 57 39,-54 41 00,279.507,0.084,,,0.15,7.88,,,2,,,,
Hogg 4,09 57 45,-54 36 00,279.467,0.159,,,,,,,4,,,,
Hogg 5,10 06 21,-60 23 00,283.864,-3.775,,,,,,,3,,,,
Hogg 6,10 06 35,-60 30 00,283.95,-3.85,1600,11.18,0.05,8.61,,-107.4,10.8,,,-8.19,0.85
Hogg 7,10 29 05,-60 45 00,286.395,-2.533,,,,,,,4,,,,
Hogg 8,10 29 10,-60 59 00,286.525,-2.728,,,,,,,3,,,,
Hogg 9,10 58 22,-59 03 00,288.834,0.692,,,,,,,1,,,,
IC 1023,14 32 25,-35 48 12,324.954,22.713,,,,,,,5,,,,
IC 1311,20 10 18,+41 13 00,77.688,4.279,5333,15.99,0.76,8.625,,397.9,5,,,,
IC 1369,21 12 06,+47 44 00,89.576,-0.419,2083,13.37,0.572,8.64,,-15.2,5,,,,
IC 1434,22 10 30,+52 50 00,99.937,-2.7,,,,,,,6,,,,
IC 1442,22 16 30,+54 03 00,101.363,-2.203,2346,13.53,0.541,6.982,,-90.2,5,,,-2.92,-2.82
IC 1590,00 52 48,+56 37 00,123.123,-6.243,2940,13.33,0.32,6.54,B0,-319.7,29,,,,
IC 166,01 52 30,+61 50 00,130.071,-0.189,3970,16.25,1.05,8.629,,-13.1,7,-0.17,,,
IC 1805,02 32 42,+61 27 00,134.726,0.919,1886,13.93,0.822,6.822,O5,30.2,20,,-26,-2.1,-1.57
IC 1848,02 51 12,+60 26 00,137.191,0.92,2002,13.36,0.598,6.84,O7,32.1,18,,-22,-5.15,0.35
IC 2156,06 04 51,+24 09 30,186.295,1.3,2100,13.7,0.67,8.4,,47.6,3,,,,
IC 2157,06 05 00,+24 00 00,186.382,1.246,2040,13.25,0.548,7.8,B0,44.4,5,,,-1.71,-3.9
IC 2391,08 40 32,-53 02 00,270.362,-6.839,175,6.24,0.008,7.661,B3,-20.8,60,-0.09,,-24.97,22.7
IC 2395,08 42 30,-48 09 00,266.637,-3.592,705,9.45,0.066,7.223,B5,-44.2,17,,0.5,-4.37,4.05
IC 2488,09 27 38,-57 00 00,277.83,-4.419,1134,10.99,0.231,8.113,B8,-87.4,18,,,-5.57,8
IC 2581,10 27 29,-57 37 00,284.588,0.035,2446,13.23,0.415,7.142,B0,1.5,5,-0.34,-6,-8.66,2
IC 2602,10 42 58,-64 24 00,289.601,-4.906,161,6.11,0.024,7.507,B0,-13.8,100,-0.09,,-17.49,10.1
IC 2714,11 17 27,-62 44 00,292.402,-1.799,1238,11.52,0.341,8.542,,-38.9,14,-0.01,-14.1,,
IC 2944,11 37 53,-63 21 00,294.849,-1.654,1794,12.26,0.32,6.818,O8,-51.8,35,,-1,-6.05,-0.38
IC 2948,11 39 21,-63 28 47,294.99,-1.72,2600,13,0.3,6.75,,-78,9.6,,,-4.58,-0.35
IC 348,03 44 30,+32 17 00,160.49,-17.802,385,10.81,0.929,7.641,B6,-117.7,7,,,7.29,-7.7
IC 361,04 19 00,+58 18 00,147.484,5.701,1070,13.61,1.117,7.718,,106.3,6,,,,
IC 4291,13 36 56,-62 06 00,0,0,,,,,,,6,,,,
IC 4651,17 24 49,-49 56 00,340.088,-7.907,888,10.1,0.116,9.057,,-122.2,10,0.09,-31,-1.07,-2.2
IC 4665,17 46 18,+05 43 00,30.619,17.082,352,8.27,0.174,7.634,B4,103.4,70,,-13,-0.86,-8.1
IC 4725,18 31 47,-19 07 00,13.702,-4.434,620,10.44,0.476,7.965,B5,-47.9,29,0.17,2.4,-4.01,-5.7
IC 4756,18 39 00,+05 27 00,36.381,5.242,484,9.02,0.192,8.699,B7,44.2,39,-0.06,-25.8,-0.14,-3.4
IC 4996,20 16 30,+37 38 00,75.353,1.306,1732,13.28,0.673,6.948,B0,39.5,6,,-22,-0.53,-4.34
IC 5146,21 53 24,+47 16 00,94.383,-5.495,852,11.49,0.593,6,B1,-81.6,20,,,-1.77,-1.7
Iskudarian 1,18 47 54,+36 51 00,66.359,16.526,,,,,,,110,,,,
Ivanov 2,06 15 53,+14 16 00,196.213,-1.198,,,,,,,2,,,,
